LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
8.2721272,45.4808802,8,VIA SAN SEBASTIANO,,BURONZO,,,,092A4048-2AAF-2A08-E054-0003BA0F36E6,d759e5ea05fd45df
7.6714805,45.4131169,1,VIA CAMPI,,BORGIALLO,,,,092A404A-FAF5-2A08-E054-0003BA0F36E6,811e086399dd4aaf
8.1516372,45.9912215,21,VIA VITTORIO EMANUELE III,,PONTEGRANDE,,,,092A4075-988C-2A08-E054-0003BA0F36E6,3371472fe1f69e4f
7.7061276,45.1518321,24,VIA GUGLIELMO MARCONI,,MAPPANO,,,,092A4081-7C47-2A08-E054-0003BA0F36E6,aeb209318234aa45
7.6458484,45.3890343,19,VIA BOSDONIO,,CUORGNE',,,,092A404A-C062-2A08-E054-0003BA0F36E6,af530a733cc1e5f4
7.464974,45.0191875,23,VIA PINEROLO SUSA,,BRUINO,,,,092A404D-7F0F-2A08-E054-0003BA0F36E6,0ff2cda325e3783b
7.3327092,44.8096959,15,VIA DANIELA,,CAMPIGLIONE-FENILE,,,,092A404D-7F7D-2A08-E054-0003BA0F36E6,2619db00c5bf93ca
7.2200303,44.3132913,4,VIA TORRE,,AISONE,,,,092A4044-6DE3-2A08-E054-0003BA0F36E6,1564a3a07187d5e6
7.2822561,44.7760674,132,VIA OLMETTO,,OLMETTO,,,,092A4044-8A1C-2A08-E054-0003BA0F36E6,ad08ba6623ddc355
7.340403,44.767376,15,VIA CACHERANO,,SAN GRATO,,,,092A4044-8BF7-2A08-E054-0003BA0F36E6,0f38d5f163821d76
8.0910347,45.1984194,74,VIA FALDELLA,,CRESCENTINO,,,,092A4048-3824-2A08-E054-0003BA0F36E6,01977c87962e8b20
7.8892715,45.1902216,46,VIA TORINO,,CHIVASSO,,,,092A404A-B766-2A08-E054-0003BA0F36E6,99f64c0fd4d5a67e
7.6493555,45.3872036,4,VIA CAPPA,,CUORGNE',,,,092A404A-B784-2A08-E054-0003BA0F36E6,c654bf5f54f61b2f
7.3140061,44.7556014,2,VIA BARGE,,BAGNOLO PIEMONTE,,,,092A4044-942B-2A08-E054-0003BA0F36E6,74b06417e0bb0e35
7.2778956,44.7441787,45,VIA GARIGO,,VILLAR,,,,092A4044-97AF-2A08-E054-0003BA0F36E6,d34dd4e85cbe93bd
7.3490652,44.7298991,98,VIA SAN MARTINO,,BARGE,,,,092A4044-A100-2A08-E054-0003BA0F36E6,13cd1df6e3d4ef81
8.1004337,45.1979357,12,VIA AMERIGO VESPUCCI,,CRESCENTINO,,,,092A4048-3B8F-2A08-E054-0003BA0F36E6,218600944711ea7c
7.4679908,45.0192145,26,VICOLO SAN MARTINO,,BRUINO,,,,092A404D-4B2F-2A08-E054-0003BA0F36E6,e3a65b820a95f7b5
7.4666195,45.0222972,33,VIA SANGANO,,BRUINO,,,,092A404D-49F9-2A08-E054-0003BA0F36E6,38defcb6d80fcf32
7.3054147,45.1163425,22,VIA ROMA,,CONDOVE,,,,092A404D-0016-2A08-E054-0003BA0F36E6,2dc4e7a19b04622e
